index,dy,dx,srce,trgt,face,length,nz,segment,prev,sub_area,ux,uy,uz,line_tension,is_active
0,-1.189496,-1.993099,0,2,0,2.321065,0.486235,apical,12,0.243117,-0.858700,-0.512478,0.0,0.086603,1
1,1.433646,2.314492,1,3,0,2.722538,0.569844,basal,18,0.284922,0.850123,0.526584,0.0,0.000000,1
2,0.491351,-0.038100,2,3,1,0.492826,0.348491,lateral,7,0.174245,-0.077308,0.997007,0.0,0.081190,1
3,0.872601,-1.057652,2,4,1,1.371153,0.427378,apical,13,0.213689,-0.771360,0.636399,0.0,0.151554,1
4,-0.883903,1.915549,3,5,1,2.109647,0.637927,basal,19,0.318963,0.907995,-0.418981,0.0,0.000000,1
5,0.480049,0.819797,4,5,2,0.950007,0.677895,lateral,8,0.338947,0.862938,0.505310,0.0,0.081190,1
6,1.290945,-0.209422,4,6,2,1.307821,0.396889,apical,14,0.198445,-0.160130,0.987096,0.0,0.151554,1
7,-2.032190,-0.235911,5,7,2,2.045838,0.593834,basal,20,0.296917,-0.115313,-0.993329,0.0,0.000000,1
8,-0.261197,0.374464,6,7,3,0.456560,0.516824,lateral,9,0.258412,0.820186,-0.572097,0.0,0.081190,1
9,1.147369,1.989383,6,8,3,2.296541,0.480078,apical,15,0.240039,0.866252,0.499608,0.0,0.086603,1
10,-1.357333,-2.334454,7,9,3,2.700376,0.564456,basal,21,0.282228,-0.864492,-0.502646,0.0,0.000000,1
11,-0.471160,0.029393,8,9,4,0.472076,0.331531,lateral,10,0.165765,0.062263,-0.998060,0.0,0.081190,1
12,-0.872633,1.059733,8,10,4,1.372779,0.410035,apical,16,0.205017,0.771962,-0.635669,0.0,0.151554,1
13,0.881358,-1.864279,9,11,4,2.062118,0.599442,basal,22,0.299721,-0.904061,0.427404,0.0,0.000000,1
14,-0.462436,-0.775154,10,11,5,0.902613,0.622266,lateral,11,0.311133,-0.858789,-0.512330,0.0,0.081190,1
15,-1.248786,0.211058,10,12,5,1.266496,0.365589,apical,17,0.182795,0.166647,-0.986017,0.0,0.151554,1
16,1.958422,0.204604,11,13,5,1.969081,0.544520,basal,23,0.272260,0.103908,0.994587,0.0,0.000000,1
17,0.247201,-0.359492,0,1,0,0.436283,0.501960,lateral,6,0.250980,-0.823989,0.566606,0.0,0.081190,1
