vert,x,y,is_active,segment,adhesion_strength,x_ecm,y_ecm
0,1.636811,-0.470285,1,apical,0.00,1.419568e+00,-0.819588
1,1.996304,-0.717485,1,basal,0.01,1.935775e+00,-1.117620
2,-0.356288,-1.659781,1,apical,0.00,-3.011118e-16,-1.639176
3,-0.318188,-2.151131,1,basal,0.01,-4.106070e-16,-2.235241
4,-1.413940,-0.787180,1,apical,0.00,-1.419568e+00,-0.819588
5,-2.233737,-1.267228,1,basal,0.01,-1.935775e+00,-1.117620
6,-1.623362,0.503765,1,apical,0.00,-1.419568e+00,0.819588
7,-1.997826,0.764962,1,basal,0.01,-1.935775e+00,1.117620
8,0.366021,1.651134,1,apical,0.00,1.003706e-16,1.639176
9,0.336628,2.122295,1,basal,0.01,1.368690e-16,2.235241
10,1.425754,0.778501,1,apical,0.00,1.419568e+00,0.819588
11,2.200908,1.240937,1,basal,0.01,1.935775e+00,1.117620
